ingestion_year,ingestion_month,ingestion_day,id_sistema_cliente,simbol,cusip,isin,nombre_activo,cantidad,valor_mercado,fecha_vencimiento,tasa_cupon
2024,3,1,1004870235,nan,L4058R217,LU0109391861,FRANKLIN U.S. OPPORTUNITIES FUND CLASS A (ACC)(USD)   ,6249.938,164435.87,1/01/1900,0
2024,3,1,1004870235,nan,L54486425,LU2114231884,NINETY ONE GSF GLOBAL MULTI-ASSET INCOME FUND CLASS A (INC)(USD)  ,2278.728,47648.2,1/01/1900,0
2024,3,1,1004870235,nan,L8146B779,LU0133713346,SCHRODER ISF ASIAN OPPORTUNITIES FUND CLASS A1 (ACC)   ,3281.6,60624.61,1/01/1900,0
2024,3,1,1004870235,GOOG,02079K107,US02079K1079,ALPHABET INC CAP STK CL C    ,140,17508.4,1/01/1900,0
2024,3,1,1004870235,AMZN,23135106,US0231351067,AMAZON COM INC COM     ,100,13271,1/01/1900,0
2024,3,1,1004870235,nan,L8146B779,LU0133713346,SCHRODER ISF ASIAN OPPORTUNITIES FUND CLASS A1 (ACC)   ,3281.6,58073.49,1/01/1900,0
2024,3,1,1004870235,AMZN,23135106,US0231351067,AMAZON COM INC COM     ,100,13314,1/01/1900,0
2024,3,1,1004870235,META,30303M102,US30303M1027,META PLATFORMS INC CL A    ,55,19680.65,1/01/1900,0
2024,3,1,1004870235,nan,L5447Q166,LU0426412945,NINETY ONE GSF GLOBAL FRANCHISE FUND CLASS A (ACC)(USD)  ,3737.538,290743.08,1/01/1900,0
2024,3,1,1004870235,nan,L104AG738,LU0784385840,BGF GLOBAL MULTI ASSET INCOME FUND CLASS A2 (USD)   ,2195.05,32188.91,1/01/1900,0
2024,3,1,1004870235,nan,L8145U257,LU0181495838,SCHRODER ISF EMERGING ASIA FUND CLASS A (USD)   ,506.64,22470.2,1/01/1900,0
2024,3,1,1004870235,GOOG,02079K107,US02079K1079,ALPHABET INC CAP STK CL C    ,140,19093.2,1/01/1900,0
2024,3,1,1004870235,META,30303M102,US30303M1027,META PLATFORMS INC CL A    ,55,18299.05,1/01/1900,0
2024,3,1,1004870235,AMZN,23135106,US0231351067,AMAZON COM INC COM     ,100,14632,1/01/1900,0
2024,3,1,1004870235,DLPG,MONEYMRKT,Liquidez,BNY MELLON US DOLLAR LIQD SERV,0,56220.15,1/01/1900,0
2024,3,1,1004870235,nan,L8145U257,LU0181495838,SCHRODER ISF EMERGING ASIA FUND CLASS A (USD)   ,506.64,22835.97,1/01/1900,0
2024,3,1,1004870235,GOOG,02079K107,US02079K1079,ALPHABET INC CAP STK CL C    ,140,19801.6,1/01/1900,0
2024,3,1,1004870235,NFLX,64110L106,US64110L1061,NETFLIX INC COM     ,19,10940.01,1/01/1900,0
2024,3,1,1004870235,XLB,81369Y100,US81369Y1001,SELECT SECTOR SPDR TR MATLS    ,570,46677.3,1/01/1900,0
2024,3,1,1004870235,XLB,81369Y100,US81369Y1001,SELECT SECTOR SPDR TR MATLS    ,570,43160.4,1/01/1900,0
2024,3,1,1004870235,META,30303M102,US30303M1027,META PLATFORMS INC CL A    ,55,20260.35,1/01/1900,0
2024,3,1,1004870235,AMZN,23135106,US0231351067,AMAZON COM INC COM     ,100,13356,1/01/1900,0
2024,3,1,1004870235,VGK,922042874,US9220428745,VANGUARD INTL EQUITY INDEX FDS FTSE EUROPE ETF   ,286,18040.88,1/01/1900,0
2024,3,1,1004870235,EEM,464287234,US4642872349,ISHARES TR MSCI EMERGING MKTS INDEX FD   ,935,35230.8,1/01/1900,0
2024,3,1,1004870235,nan,L4058R217,LU0109391861,FRANKLIN U.S. OPPORTUNITIES FUND CLASS A (ACC)(USD)   ,6249.938,176373.25,1/01/1900,0
2024,3,1,1004870235,BRK B,84670702,US0846707026,BERKSHIRE HATHAWAY INC DEL CL B NEW    ,505,181441.45,1/01/1900,0
2024,3,1,1004870235,DIS,254687106,US2546871060,DISNEY WALT CO DISNEY COM    ,50,4184,1/01/1900,0
2024,3,1,1004870235,nan,L8146N369,LU0557290698,SCHRODER ISF SUSTAINABLE GROWTH FUND CLASS A (ACC)(USD)  ,416.24,135916.72,1/01/1900,0
2024,3,1,1004870235,DIS,254687106,US2546871060,DISNEY WALT CO DISNEY COM    ,50,4517,1/01/1900,0
2024,3,1,1004870235,DLPG,MONEYMRKT,Liquidez,BNY MELLON US DOLLAR LIQD SERV,0,57424.42,1/01/1900,0
2024,3,1,1004870235,nan,L54486425,LU2114231884,NINETY ONE GSF GLOBAL MULTI-ASSET INCOME FUND CLASS A (INC)(USD)  ,2240.835,45825.08,1/01/1900,0
2024,3,1,1004870235,nan,L5447Q166,LU0426412945,NINETY ONE GSF GLOBAL FRANCHISE FUND CLASS A (ACC)(USD)  ,3737.538,264954.07,1/01/1900,0
2024,3,1,1004870235,DLPG,MONEYMRKT,Liquidez,BNY MELLON US DOLLAR LIQD SERV,0,97717.11,1/01/1900,0
2024,3,1,1004870235,META,30303M102,US30303M1027,META PLATFORMS INC CL A    ,55,16273.95,1/01/1900,0
2024,3,1,1004870235,EEM,464287234,US4642872349,ISHARES TR MSCI EMERGING MKTS INDEX FD   ,935,38391.1,1/01/1900,0
2024,3,1,1004870235,VGK,922042874,US9220428745,VANGUARD INTL EQUITY INDEX FDS FTSE EUROPE ETF   ,286,17709.12,1/01/1900,0
2024,3,1,1004870235,META,30303M102,US30303M1027,META PLATFORMS INC CL A    ,55,18410.7,1/01/1900,0
2024,3,1,1004870235,GOOG,02079K107,US02079K1079,ALPHABET INC CAP STK CL C    ,140,18450.6,1/01/1900,0
2024,3,1,1004870235,nan,L104AG738,LU0784385840,BGF GLOBAL MULTI ASSET INCOME FUND CLASS A2 (USD)   ,2195.05,33139.02,1/01/1900,0
2024,3,1,1004870235,AMZN,23135106,US0231351067,AMAZON COM INC COM     ,100,12821,1/01/1900,0
2024,3,1,1004870235,nan,L8145U257,LU0181495838,SCHRODER ISF EMERGING ASIA FUND CLASS A (USD)   ,506.64,21311.96,1/01/1900,0
2024,3,1,1004870235,DLPG,MONEYMRKT,Liquidez,BNY MELLON US DOLLAR LIQD SERV,0,88263.14,1/01/1900,0
2024,3,1,1004870235,GOOG,02079K107,US02079K1079,ALPHABET INC CAP STK CL C    ,140,20004.6,1/01/1900,0
2024,3,1,1004870235,AMZN,23135106,US0231351067,AMAZON COM INC COM     ,100,15171,1/01/1900,0
2024,3,1,1004870235,DLPG,MONEYMRKT,Liquidez,BNY MELLON US DOLLAR LIQD SERV,0,67671.66,1/01/1900,0
2024,3,1,1004870235,nan,L8146B779,LU0133713346,SCHRODER ISF ASIAN OPPORTUNITIES FUND CLASS A1 (ACC)   ,3281.6,64730.22,1/01/1900,0
2024,3,1,1004870235,nan,L54486425,LU2114231884,NINETY ONE GSF GLOBAL MULTI-ASSET INCOME FUND CLASS A (INC)(USD)  ,2278.728,46896.22,1/01/1900,0
2024,3,1,1004870235,XLB,81369Y100,US81369Y1001,SELECT SECTOR SPDR TR MATLS    ,570,43958.4,1/01/1900,0
2024,3,1,1004870235,AAPL,37833100,US0378331005,APPLE INC COM     ,1466,262941.76,1/01/1900,0
2024,3,1,1004870235,nan,L1R49P707,LU1196525536,BGF CONTINENTAL EUROPEAN FLEXIBLE FUND CLASS A2 (HEDGED) (USD)  ,5973.45,135555.09,1/01/1900,0
2024,3,1,1004870235,nan,L104AG738,LU0784385840,BGF GLOBAL MULTI ASSET INCOME FUND CLASS A2 (USD)   ,2195.05,33628.17,1/01/1900,0
2024,3,1,1004870235,nan,L104AG738,LU0784385840,BGF GLOBAL MULTI ASSET INCOME FUND CLASS A2 (USD)   ,2195.05,31705.68,1/01/1900,0
2024,3,1,1004870235,nan,L8146N369,LU0557290698,SCHRODER ISF SUSTAINABLE GROWTH FUND CLASS A (ACC)(USD)  ,416.24,136381.2,1/01/1900,0
2024,3,1,1004870235,nan,L8146B779,LU0133713346,SCHRODER ISF ASIAN OPPORTUNITIES FUND CLASS A1 (ACC)   ,3281.6,64037.47,1/01/1900,0
2024,3,1,1004870235,AAPL,37833100,US0378331005,APPLE INC COM     ,1466,267808.88,1/01/1900,0
2024,3,1,1004870235,nan,L8146B779,LU0133713346,SCHRODER ISF ASIAN OPPORTUNITIES FUND CLASS A1 (ACC)   ,3281.6,56480.6,1/01/1900,0
2024,3,1,1004870235,DIS,254687106,US2546871060,DISNEY WALT CO DISNEY COM    ,50,4083.5,1/01/1900,0
2024,3,1,1004870235,NFLX,64110L106,US64110L1061,NETFLIX INC COM     ,19,8550.95,1/01/1900,0
2024,3,1,1004870235,DIS,254687106,US2546871060,DISNEY WALT CO DISNEY COM    ,50,4610,1/01/1900,0
2024,3,1,1004870235,nan,L8146B779,LU0133713346,SCHRODER ISF ASIAN OPPORTUNITIES FUND CLASS A1 (ACC)   ,3281.6,59036.97,1/01/1900,0
2024,3,1,1004870235,NFLX,64110L106,US64110L1061,NETFLIX INC COM     ,19,11333.12,1/01/1900,0
2024,3,1,1004870235,META,30303M102,US30303M1027,META PLATFORMS INC CL A    ,55,16646.3,1/01/1900,0
2024,3,1,1004870235,nan,L1R49P707,LU1196525536,BGF CONTINENTAL EUROPEAN FLEXIBLE FUND CLASS A2 (HEDGED) (USD)  ,5973.45,137147.62,1/01/1900,0
2024,3,1,1004870235,DLPG,MONEYMRKT,Liquidez,BNY MELLON US DOLLAR LIQD SERV,0,56872.49,1/01/1900,0
2024,3,1,1004870235,nan,L8146N369,LU0557290698,SCHRODER ISF SUSTAINABLE GROWTH FUND CLASS A (ACC)(USD)  ,416.24,139476.2,1/01/1900,0
2024,3,1,1004870235,nan,L8146N369,LU0557290698,SCHRODER ISF SUSTAINABLE GROWTH FUND CLASS A (ACC)(USD)  ,416.24,137673.17,1/01/1900,0
2024,3,1,1004870235,XLB,81369Y100,US81369Y1001,SELECT SECTOR SPDR TR MATLS    ,570,47030.7,1/01/1900,0
2024,3,1,1004870235,META,30303M102,US30303M1027,META PLATFORMS INC CL A    ,55,18271,1/01/1900,0
2024,3,1,1004870235,NFLX,64110L106,US64110L1061,NETFLIX INC COM     ,19,8737.91,1/01/1900,0
2024,3,1,1004870235,nan,L4058R217,LU0109391861,FRANKLIN U.S. OPPORTUNITIES FUND CLASS A (ACC)(USD)   ,6249.938,163998.37,1/01/1900,0
2024,3,1,1004870235,nan,L54486425,LU2114231884,NINETY ONE GSF GLOBAL MULTI-ASSET INCOME FUND CLASS A (INC)(USD)  ,2283.932,46980.48,1/01/1900,0
2024,3,1,1004870235,nan,L5447Q166,LU0426412945,NINETY ONE GSF GLOBAL FRANCHISE FUND CLASS A (ACC)(USD)  ,3737.538,294667.5,1/01/1900,0
2024,3,1,1004870235,DLPG,MONEYMRKT,Liquidez,BNY MELLON US DOLLAR LIQD SERV,0,78792.27,1/01/1900,0
2024,3,1,1004870235,DLPG,MONEYMRKT,Liquidez,BNY MELLON US DOLLAR LIQD SERV,0,79216.34,1/01/1900,0
2024,3,1,1004870235,nan,L1R49P707,LU1196525536,BGF CONTINENTAL EUROPEAN FLEXIBLE FUND CLASS A2 (HEDGED) (USD)  ,5973.45,134185.65,1/01/1900,0
2024,3,1,1004870235,nan,L8146N369,LU0557290698,SCHRODER ISF SUSTAINABLE GROWTH FUND CLASS A (ACC)(USD)  ,416.24,143094.28,1/01/1900,0
2024,3,1,1004870235,NFLX,64110L106,US64110L1061,NETFLIX INC COM     ,19,9126.27,1/01/1900,0
2024,3,1,1004870235,EEM,464287234,US4642872349,ISHARES TR MSCI EMERGING MKTS INDEX FD   ,935,36736.15,1/01/1900,0
2024,3,1,1004870235,XLB,81369Y100,US81369Y1001,SELECT SECTOR SPDR TR MATLS    ,570,47264.4,1/01/1900,0
2024,3,1,1004870235,nan,L4058R217,LU0109391861,FRANKLIN U.S. OPPORTUNITIES FUND CLASS A (ACC)(USD)   ,6249.938,181935.7,1/01/1900,0
2024,3,1,1004870235,DIS,254687106,US2546871060,DISNEY WALT CO DISNEY COM    ,50,4315,1/01/1900,0
2024,3,1,1004870235,nan,L104AG738,LU0784385840,BGF GLOBAL MULTI ASSET INCOME FUND CLASS A2 (USD)   ,2195.05,31652.62,1/01/1900,0
2024,3,1,1004870235,BRK B,84670702,US0846707026,BERKSHIRE HATHAWAY INC DEL CL B NEW    ,505,185870.3,1/01/1900,0
2024,3,1,1004870235,DIS,254687106,US2546871060,DISNEY WALT CO DISNEY COM    ,50,4208,1/01/1900,0
2024,3,1,1004870235,nan,L1R49P707,LU1196525536,BGF CONTINENTAL EUROPEAN FLEXIBLE FUND CLASS A2 (HEDGED) (USD)  ,5973.45,134853.11,1/01/1900,0
2024,3,1,1004870235,EEM,464287234,US4642872349,ISHARES TR MSCI EMERGING MKTS INDEX FD   ,935,37802.05,1/01/1900,0
2024,3,1,1004870235,nan,L8145U257,LU0181495838,SCHRODER ISF EMERGING ASIA FUND CLASS A (USD)   ,506.64,23913.41,1/01/1900,0
2024,3,1,1004870235,BRK B,84670702,US0846707026,BERKSHIRE HATHAWAY INC DEL CL B NEW    ,505,179552.75,1/01/1900,0
2024,3,1,1004870235,AAPL,37833100,US0378331005,APPLE INC COM     ,1466,284389.34,1/01/1900,0
2024,3,1,1004870235,nan,L4058R217,LU0109391861,FRANKLIN U.S. OPPORTUNITIES FUND CLASS A (ACC)(USD)   ,6249.938,160560.91,1/01/1900,0
2024,3,1,1004870235,BRK B,84670702,US0846707026,BERKSHIRE HATHAWAY INC DEL CL B NEW    ,505,177350.95,1/01/1900,0
2024,3,1,1004870235,NFLX,64110L106,US64110L1061,NETFLIX INC COM     ,19,7791.52,1/01/1900,0
2024,3,1,1004870235,NFLX,64110L106,US64110L1061,NETFLIX INC COM     ,19,9228.49,1/01/1900,0
2024,3,1,1004870235,XLB,81369Y100,US81369Y1001,SELECT SECTOR SPDR TR MATLS    ,570,47503.8,1/01/1900,0
2024,3,1,1004870235,nan,L1R49P707,LU1196525536,BGF CONTINENTAL EUROPEAN FLEXIBLE FUND CLASS A2 (HEDGED) (USD)  ,5973.45,137794.82,1/01/1900,0
2024,3,1,1004870235,AMZN,23135106,US0231351067,AMAZON COM INC COM     ,100,12946,1/01/1900,0
2024,3,1,1004870235,VGK,922042874,US9220428745,VANGUARD INTL EQUITY INDEX FDS FTSE EUROPE ETF   ,286,17631.9,1/01/1900,0
2024,3,1,1004870235,AAPL,37833100,US0378331005,APPLE INC COM     ,1466,284242.74,1/01/1900,0
2024,3,1,1004870235,nan,L4058R217,LU0109391861,FRANKLIN U.S. OPPORTUNITIES FUND CLASS A (ACC)(USD)   ,6249.938,167185.84,1/01/1900,0
2024,3,1,1004870235,EEM,464287234,US4642872349,ISHARES TR MSCI EMERGING MKTS INDEX FD   ,935,35576.75,1/01/1900,0
2024,3,1,1004870235,nan,L104AG738,LU0784385840,BGF GLOBAL MULTI ASSET INCOME FUND CLASS A2 (USD)   ,2195.05,32211.11,1/01/1900,0
2024,3,1,1004870235,BRK B,84670702,US0846707026,BERKSHIRE HATHAWAY INC DEL CL B NEW    ,505,181901,1/01/1900,0
2024,3,1,1004870235,BRK B,84670702,US0846707026,BERKSHIRE HATHAWAY INC DEL CL B NEW    ,505,173846.25,1/01/1900,0
2024,3,1,1004870235,EEM,464287234,US4642872349,ISHARES TR MSCI EMERGING MKTS INDEX FD   ,935,36623.95,1/01/1900,0
2024,3,1,1004870235,nan,L8145U257,LU0181495838,SCHRODER ISF EMERGING ASIA FUND CLASS A (USD)   ,506.64,21786.33,1/01/1900,0
2024,3,1,1004870235,nan,L8146B779,LU0133713346,SCHRODER ISF ASIAN OPPORTUNITIES FUND CLASS A1 (ACC)   ,3281.6,56910.82,1/01/1900,0
2024,3,1,1004870235,nan,L4058R217,LU0109391861,FRANKLIN U.S. OPPORTUNITIES FUND CLASS A (ACC)(USD)   ,6249.938,168373.33,1/01/1900,0
2024,3,1,1004870235,nan,L1R49P707,LU1196525536,BGF CONTINENTAL EUROPEAN FLEXIBLE FUND CLASS A2 (HEDGED) (USD)  ,5973.45,150468.37,1/01/1900,0
2024,3,1,1004870235,NFLX,64110L106,US64110L1061,NETFLIX INC COM     ,19,7943.14,1/01/1900,0
2024,3,1,1004870235,nan,L4058R217,LU0109391861,FRANKLIN U.S. OPPORTUNITIES FUND CLASS A (ACC)(USD)   ,6249.938,189185.62,1/01/1900,0
2024,3,1,1004870235,GOOG,02079K107,US02079K1079,ALPHABET INC CAP STK CL C    ,140,20679.4,1/01/1900,0
2024,3,1,1004870235,nan,L54486425,LU2114231884,NINETY ONE GSF GLOBAL MULTI-ASSET INCOME FUND CLASS A (INC)(USD)  ,2261.223,45518.42,1/01/1900,0
2024,3,1,1004870235,nan,L104AG738,LU0784385840,BGF GLOBAL MULTI ASSET INCOME FUND CLASS A2 (USD)   ,2195.05,33562.31,1/01/1900,0
